train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0.9231545899378956,0.005721253115770054,0.9305821648642761,0.007062550505111348
0.8293922729213143,0.012608150397006343,0.8435369524736992,0.010862396099976987
0.7572969744332116,0.015834644126433445,0.7771163074327817,0.013507436936565744
0.7012508800169561,0.01842672304770753,0.7278163957759664,0.017272807333175138
0.6555711278144386,0.01975999981479781,0.6880618533479397,0.022103389800559935
0.6179891865088507,0.02040452619880629,0.6551782068267517,0.028542094034822902
0.5866211941538759,0.021234438123384713,0.6293002754230624,0.030820968085150356
0.5589656697454024,0.022722541145116487,0.6062797386858337,0.03512563978225118
0.537045811568874,0.023357028446568905,0.5887642452407497,0.03985369987304864
0.5170045680720712,0.025422520378036,0.5729912801743406,0.04116411745830782
0.499696561943424,0.02701193951979206,0.5595430465753324,0.0434833790832845
0.4837132933451446,0.028074932468393904,0.547281846399749,0.04493196206271132
0.4692636173826546,0.029104106985412707,0.5355455013618675,0.04891888968549742
0.45615349310724723,0.029853684261572228,0.5268345019003817,0.05219637889987706
0.4440125624540047,0.0301699371642392,0.5195224486901474,0.053506201913117744
0.4338386695408832,0.030440178581920063,0.5139257819696459,0.05476194143721177
0.42383883875233846,0.030655502221908132,0.5066613091813545,0.058248763529136154
0.4153011810974207,0.031061805088604066,0.5017476177868475,0.06037603013552492
0.4063334580430528,0.03187736734045447,0.49543069873691653,0.06187978825997034
0.39861559468328805,0.032161199404251516,0.4907996120386365,0.06311800014625908
0.3900538066191555,0.03247052111597434,0.4847580153402049,0.06460558948314819
0.3824035916909352,0.032569223395158456,0.4791526659368384,0.06631216417732902
0.37540882586920626,0.03315986615048474,0.4743655088890894,0.06625464609216701
0.36869054712569044,0.03377948432352651,0.47047306029208974,0.0665466009056268
0.36249695941260834,0.033886126471273856,0.4661041195181667,0.07018089253395213
0.35673588913684434,0.03396629603538014,0.4621699982376115,0.07115487294660322
0.35110266709188703,0.03400847906147148,0.4581094797213168,0.07246496440611554
0.34593500951119793,0.0341847994850609,0.45455271955449716,0.07387280059737372
0.3409350970335647,0.034199402905412665,0.45262582778160515,0.0732912788972
0.3360514626591143,0.03412882399548658,0.45006890085399975,0.07400744792073084
0.3313791382859956,0.03399260185913002,0.447826647770815,0.07455670911906698
0.32747922954122827,0.03385533435295125,0.44536005542694684,0.07754091529450434
0.32370016604058516,0.03370216979100742,0.4436218352258952,0.07998950296683159
0.3200424849580233,0.03348533505263952,0.4421280443505573,0.08067009629829583
0.31650290182797175,0.03341472459369532,0.44133157090574543,0.08235444976427177
0.3131566145215547,0.033386513256428586,0.4392539512059041,0.0849411020152658
0.3096705389482575,0.03322993514508698,0.4394901156882664,0.08555470926140492
0.3065040208404238,0.03310419713368956,0.43919728602799385,0.08684666693539306
0.30344109838915895,0.03281795840886389,0.43879832559592585,0.08868080655568918
0.30044457975849453,0.03267307658049001,0.4382271613374762,0.0895243089826308
0.2975658838267868,0.03275694348711574,0.4363529991569986,0.09072349251284698
0.2949813821865388,0.03254290357739913,0.43701856463020466,0.09134518030360761
0.2923623310108337,0.032511401530890376,0.43669949073042136,0.09235512863253573
0.28977073550993376,0.0323967200223353,0.43558324673229293,0.09350177843455261
0.28727760175244804,0.03236151605880984,0.4371140528425388,0.09425008819964338
0.2847602374334391,0.03226079929322462,0.43555022248737957,0.0962803081528133
0.28233032567773825,0.031997468034649285,0.43566086830128165,0.09757293932294646
0.2800976277111648,0.031840310155056166,0.43549976749801766,0.09910094190673603
